/begin_header
/start_date=1997-01-01
/end_date=2019-07-19
/north_latitude=48[deg]
/south_latitude=32[deg]
/east_longitude=-60[deg]
/west_longitude=-80[deg]
! Date processed: 2019-07-19 17:56:40 GMT
! Date archived: 2000-01-01 to 2019-07-19
! Water depth: 0.0 to 10000
! Data source: seabass
! Exclusions:
!                                                             , VIIRS-SNPP          
!  Minimum valid satellite pixels                             ,                  50 
!  Maximum solar zenith angle                                 ,                  75 
!  Maximum satellite zenith angle                             ,                  60 
!  Maximum time difference between satellite and in situ      ,                   3 
!  Maximum coefficient of variation of satellite pixels       ,                0.15 
!  Maximum irradiance difference between measured and modeled ,                  20 
!  Maximum windspeed                                          ,                  35 
!  Most Data Recent Update                                    , 2019-06-27 17:39:43 
! Statistics:
!  Product Name , #   , Mean Bias , Mean Absolute Percent , Mean Absolute Error (MAE) , VIIRS-SNPP Range    , In situ Range       
!  chlor_a      , 128 ,   1.13114 , NaN                   ,                   1.42455 , 0.164524 - 47.68464 , 0.201000 - 22.88572 
/missing=-999
/delimiter=comma
/fields=id,latitude,longitude,date_time,cruise,viirs_filename,viirs_es_error,viirs_pixel_total,viirs_tdiff,viirs_solz,viirs_senz,viirs_cv,viirs_windspeed,viirs_chlor_a,insitu_chlor_a_type,insitu_chlor_a,viirs_rrs410,viirs_rrs443,viirs_rrs486,viirs_rrs551,viirs_rrs671
/units=none,degrees,degrees,yyyy-mm-dd hh:mm:ss,none,none,unitless,unitless,seconds,degrees,degrees,unitless,m*s^-1,mg*m^-3,unitless,mg*m^-3,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1
/end_header
476277,37.58847000,-76.16216000,2013-09-19 15:18:00,cbp06,V2013262174200.L2_SNPP.R0000028718_38N_37N_76W_76W_OCVAL.nc_4551_476277_B5.tgz,0.00000000,25,8681,37.78,31.38,0.089,1.486,6.75570600,chl,6.14100000,0.00211100,0.00267300,0.00392900,0.00619700,0.00228400
476307,37.41153000,-76.15966000,2013-09-19 18:03:00,cbp06,V2013262174200.L2_SNPP.R0000028718_38N_37N_76W_76W_OCVAL.nc_4551_476307_B5.tgz,0.00000000,25,-1223,37.61,31.75,0.081,1.506,6.20339000,chl,11.74800000,0.00278200,0.00376100,0.00567600,0.00912400,0.00357400
476901,37.41153000,-76.07966000,2013-10-21 17:41:00,cbp06,V2013294174200.L2_SNPP.R0000028718_37N_36N_76W_75W_OCVAL.nc_4551_476901_B5.tgz,0.00000000,25,121,49.99,31.38,0.140,2.504,5.94237800,chl,5.87400000,0.00155900,0.00243000,0.00382200,0.00592500,0.00210200
476913,37.48680000,-76.15633000,2013-10-21 18:48:00,cbp06,V2013294174200.L2_SNPP.R0000028718_37N_36N_76W_75W_OCVAL.nc_4551_476913_B5.tgz,0.00000000,25,-3897,50.06,31.64,0.057,2.544,5.35279400,chl,8.41050000,0.00214000,0.00261000,0.00372100,0.00554900,0.00209900
476919,37.58847000,-76.16216000,2013-10-21 19:28:00,cbp06,V2013294174200.L2_SNPP.R0000028718_37N_36N_76W_75W_OCVAL.nc_4551_476919_B5.tgz,0.00000000,25,-6297,50.14,31.51,0.071,2.602,5.56037200,chl,10.14600000,0.00193300,0.00213000,0.00302800,0.00463900,0.00171200
477351,37.11681000,-76.12521000,2013-11-11 19:51:00,cbp06,V2013315174800.L2_SNPP.R0000028718_37N_36N_76W_76W_OCVAL.nc_4551_477351_B5.tgz,0.00000000,25,-7303,56.56,24.02,0.042,0.231,3.77508400,chl,5.76720000,0.00392100,0.00554100,0.00790900,0.01068600,0.00444900
477453,37.58847000,-76.16216000,2013-11-14 16:11:00,cbp06,V2013318183000.L2_SNPP.R0000028718_38N_37N_76W_75W_OCVAL.nc_4551_477453_B5.tgz,0.00000000,25,8543,61.13,42.34,0.066,4.927,4.53553800,chl,4.80600000,0.00245100,0.00505300,0.00815500,0.01174000,0.00523400
477471,37.69180000,-76.18967000,2013-11-14 16:55:00,cbp06,V2013318183000.L2_SNPP.R0000028718_38N_37N_76W_75W_OCVAL.nc_4551_477471_B5.tgz,0.00000000,25,5905,61.21,42.34,0.127,4.714,6.86873800,chl,5.87400000,0.00060400,0.00176000,0.00339100,0.00553900,0.00185100
477693,38.55505000,-76.42794000,2013-11-20 16:53:00,cbp06,V2013324181800.L2_SNPP.R0000028718_38N_37N_76W_76W_OCVAL.nc_4551_477693_B5.tgz,0.00000000,25,5285,62.07,26.62,0.116,3.436,11.93587000,chl,8.01000000,0.00018700,0.00103900,0.00199900,0.00384400,0.00166200
477699,38.64618000,-76.42127000,2013-11-20 17:30:00,cbp06,V2013324181800.L2_SNPP.R0000028718_38N_37N_76W_76W_OCVAL.nc_4551_477699_B5.tgz,0.00000000,25,3067,62.16,26.81,0.123,3.239,12.74565300,chl,11.34700000,0.00037800,0.00115300,0.00200100,0.00389500,0.00178500
